iter	Logloss
0	0.6623612502
1	0.6476321122
2	0.6305524881
3	0.6014982172
4	0.5722509265
5	0.5432764258
6	0.5167272346
7	0.5003419638
8	0.4805134807
9	0.4650987915
10	0.4512601554
11	0.4341775392
12	0.4258080355
13	0.4140612994
14	0.3968611309
15	0.3793218987
16	0.3678538254
17	0.3541675917
18	0.3438159968
19	0.3362518396
20	0.3281986816
21	0.3224848824
22	0.3167294094
23	0.306750536
24	0.2990703344
25	0.2895419376
26	0.2799372486
27	0.2735380982
28	0.2683753507
29	0.2617579997
30	0.2585495898
31	0.252319118
32	0.2457333169
33	0.2384570007
34	0.2341460828
35	0.2286534659
36	0.2238370964
37	0.2209694926
38	0.2174254618
39	0.2146675221
40	0.2109096778
41	0.2066070293
42	0.2014289886
43	0.1966859183
44	0.1942243853
45	0.1903099239
46	0.1881540954
47	0.18381405
48	0.1791700538
49	0.1751131549
50	0.1733120437
51	0.1714744159
52	0.1677071414
53	0.1642542283
54	0.16002302
55	0.1584721308
56	0.1556991349
57	0.1524643804
58	0.1497778888
59	0.1466442909
60	0.1452370816
61	0.1423969577
62	0.1407853127
63	0.1393229408
64	0.1379734346
65	0.1353742957
66	0.1328596715
67	0.1304264573
68	0.1280699051
69	0.1266580833
70	0.125554899
71	0.1244892893
72	0.1234927378
73	0.1225225206
74	0.1215246716
75	0.1204796661
76	0.1195276267
77	0.1185529419
78	0.1175951553
79	0.1167566123
80	0.1159006029
81	0.1150644028
82	0.1142012875
83	0.1133914345
84	0.1125517511
85	0.111743008
86	0.110965978
87	0.1102007579
88	0.109404123
89	0.1086180976
90	0.107862748
91	0.1070981896
92	0.1063442443
93	0.1056001257
94	0.1048835324
95	0.10417642
96	0.1034600739
97	0.102770995
98	0.1020904664
99	0.1014012509
