iter	Passed	Remaining
0	131	13061
1	132	6488
2	132	4295
3	133	3195
4	133	2534
5	133	2092
6	133	1777
7	134	1541
8	134	1359
9	134	1211
10	134	1090
11	135	990
12	135	905
13	135	832
14	135	769
15	135	713
16	136	664
17	136	621
18	136	582
19	136	546
20	136	515
21	137	486
22	137	460
23	137	436
24	138	414
25	138	393
26	138	374
27	138	356
28	139	340
29	139	324
30	139	310
31	139	297
32	140	284
33	140	272
34	140	260
35	140	250
36	141	240
37	141	230
38	141	221
39	141	212
40	142	204
41	142	196
42	142	189
43	142	181
44	143	175
45	143	168
46	143	162
47	144	156
48	144	150
49	144	144
50	144	139
51	145	134
52	145	128
53	145	124
54	145	119
55	146	114
56	146	110
57	146	106
58	146	101
59	146	97
60	147	94
61	147	90
62	147	86
63	147	83
64	148	79
65	148	76
66	148	73
67	148	70
68	149	66
69	149	63
70	149	61
71	149	58
72	150	55
73	150	52
74	150	50
75	150	47
76	151	45
77	151	42
78	151	40
79	152	38
80	152	35
81	152	33
82	153	31
83	153	29
84	153	27
85	153	25
86	154	23
87	154	21
88	154	19
89	155	17
90	155	15
91	155	13
92	155	11
93	156	9
94	156	8
95	156	6
96	157	4
97	157	3
98	157	1
99	158	0
